ID,Name,Author,time spent,logged at
13733,KLMF-44,alb433,1d,2020-01-06T23:00:00.000+0000
13733,KLMF-44,alb433,2h 30m,2020-01-09T00:46:00.000+0000
13733,KLMF-44,alb433,1d 30m,2020-01-09T21:56:00.000+0000
13733,KLMF-44,alb433,2h,2020-01-13T21:53:00.000+0000
13733,KLMF-44,alb433,2h,2020-01-15T01:56:00.000+0000
13733,KLMF-44,zmr5,2h 30m,2020-02-02T17:42:00.000+0000
13733,KLMF-44,jb974,1d,2020-02-10T17:53:00.000+0000
13733,KLMF-44,jb974,2h,2020-02-14T01:51:00.000+0000
13733,KLMF-44,zmr5,2h,2020-03-05T22:59:00.000+0000
13733,KLMF-44,mt779,1d,2020-03-07T17:15:00.000+0000
13733,KLMF-44,zmr5,2h,2020-03-08T17:51:00.000+0000
13714,KLMF-29,meche_issue_lister,1d,2020-02-02T22:43:52.235+0000
13714,KLMF-29,meche_issue_lister,1d,2020-02-09T21:56:21.066+0000
13714,KLMF-29,meche_issue_lister,1d,2020-02-17T04:58:18.885+0000
13714,KLMF-29,meche_issue_lister,1d,2020-03-05T22:51:56.336+0000
13714,KLMF-29,meche_issue_lister,1d,2020-03-05T22:57:25.646+0000
13714,KLMF-29,meche_issue_lister,1d,2020-03-05T22:58:17.879+0000
13713,KLMF-28,meche_issue_lister,1d,2020-02-02T22:43:52.337+0000
13713,KLMF-28,meche_issue_lister,1d,2020-02-09T21:56:21.158+0000
13713,KLMF-28,meche_issue_lister,1d,2020-02-17T04:58:19.081+0000
13713,KLMF-28,meche_issue_lister,1d,2020-03-05T22:51:56.452+0000
13713,KLMF-28,meche_issue_lister,1d,2020-03-05T22:57:25.984+0000
13713,KLMF-28,meche_issue_lister,1d,2020-03-05T22:58:17.993+0000
13712,KLMF-27,meche_issue_lister,1d,2020-02-02T22:43:52.446+0000
13712,KLMF-27,meche_issue_lister,1d,2020-02-09T21:56:21.252+0000
13712,KLMF-27,meche_issue_lister,1d,2020-02-17T04:58:19.266+0000
13712,KLMF-27,kah289,1d,2020-02-28T20:17:00.000+0000
13712,KLMF-27,kah289,1d,2020-03-01T20:18:00.000+0000
13712,KLMF-27,meche_issue_lister,1d,2020-03-05T22:51:56.636+0000
13712,KLMF-27,meche_issue_lister,1d,2020-03-05T22:57:26.151+0000
13711,KLMF-26,meche_issue_lister,1d,2020-02-02T22:43:52.558+0000
13711,KLMF-26,meche_issue_lister,1d,2020-02-09T21:56:21.354+0000
13711,KLMF-26,meche_issue_lister,1d,2020-02-17T04:58:19.407+0000
13711,KLMF-26,meche_issue_lister,1d,2020-03-05T22:51:56.749+0000
13711,KLMF-26,meche_issue_lister,1d,2020-03-05T22:57:26.277+0000
13711,KLMF-26,meche_issue_lister,1d,2020-03-05T22:58:18.115+0000
13711,KLMF-26,ddl58,1d 2h,2020-02-29T17:41:00.000+0000
13711,KLMF-26,ddl58,1d 1h 30m,2020-02-08T17:45:00.000+0000
13708,KLMF-23,meche_issue_lister,1d,2020-02-02T22:43:52.737+0000
13708,KLMF-23,meche_issue_lister,1d,2020-02-09T21:56:21.466+0000
13708,KLMF-23,meche_issue_lister,1d,2020-02-17T04:58:19.545+0000
13708,KLMF-23,meche_issue_lister,1d,2020-03-05T22:51:56.872+0000
13708,KLMF-23,meche_issue_lister,1d,2020-03-05T22:57:26.404+0000
13708,KLMF-23,meche_issue_lister,1d,2020-03-05T22:58:18.225+0000
13707,KLMF-22,meche_issue_lister,1d,2020-02-09T21:56:21.597+0000
13707,KLMF-22,meche_issue_lister,1d,2020-02-17T04:58:19.696+0000
13707,KLMF-22,mnm54,1d 1h 30m,2020-03-03T21:48:00.000+0000
13707,KLMF-22,meche_issue_lister,1d,2020-03-05T22:51:57.033+0000
13707,KLMF-22,meche_issue_lister,1d,2020-03-05T22:57:26.519+0000
13707,KLMF-22,meche_issue_lister,1d,2020-03-05T22:58:18.352+0000
13706,KLMF-21,alb433,1d 2h,2020-01-15T23:58:00.000+0000
13706,KLMF-21,alb433,1d,2020-01-16T21:02:00.000+0000
13706,KLMF-21,alb433,2h,2020-01-18T03:23:00.000+0000
13706,KLMF-21,meche_issue_lister,1d,2020-02-02T22:43:52.888+0000
13706,KLMF-21,meche_issue_lister,1d,2020-02-09T21:56:21.755+0000
13706,KLMF-21,meche_issue_lister,1d,2020-02-17T04:58:19.837+0000
13706,KLMF-21,meche_issue_lister,1d,2020-03-05T22:51:57.161+0000
13706,KLMF-21,meche_issue_lister,1d,2020-03-05T22:57:26.618+0000
13706,KLMF-21,meche_issue_lister,1d,2020-03-05T22:58:18.470+0000
13704,KLMF-19,zmr5,2d,2020-01-27T22:39:00.000+0000
13704,KLMF-19,meche_issue_lister,1d,2020-01-29T00:28:34.750+0000
13704,KLMF-19,meche_issue_lister,1d,2020-02-09T21:56:21.887+0000
13704,KLMF-19,meche_issue_lister,1d,2020-02-17T04:58:19.984+0000
13704,KLMF-19,meche_issue_lister,1d,2020-03-05T22:51:57.296+0000
13704,KLMF-19,meche_issue_lister,1d,2020-03-05T22:57:26.760+0000
13704,KLMF-19,meche_issue_lister,1d,2020-03-05T22:58:18.607+0000
13703,KLMF-18,mt779,1d 1h,2020-01-16T22:00:00.000+0000
13703,KLMF-18,mt779,2h,2020-01-18T20:00:00.000+0000
13703,KLMF-18,meche_issue_lister,1d,2020-02-02T22:43:53.015+0000
13703,KLMF-18,meche_issue_lister,1d,2020-02-09T21:56:22.017+0000
13703,KLMF-18,meche_issue_lister,1d,2020-02-17T04:58:20.095+0000
13703,KLMF-18,mt779,1d,2020-02-27T02:18:00.000+0000
13703,KLMF-18,meche_issue_lister,1d,2020-03-05T22:51:57.469+0000
13703,KLMF-18,meche_issue_lister,1d,2020-03-05T22:57:26.885+0000
13703,KLMF-18,meche_issue_lister,1d,2020-03-05T22:58:18.715+0000
13703,KLMF-18,mt779,1d,2020-02-29T18:19:00.000+0000
